Time,accX,accY,accZ
1503530532538,0.16299438,-0.22088623,9.15242
1503530532547,0.20584106,-0.17803955,9.157181
1503530532557,0.2106018,-0.24230957,9.0976715
1503530532567,0.12966919,-0.21850586,9.135757
1503530532577,0.17489624,-0.19470215,9.138138
1503530532587,0.16299438,-0.1899414,9.173843
1503530532597,0.17965698,-0.17565918,9.133377
1503530532607,0.17251587,-0.25183105,9.145279
1503530532617,0.1701355,-0.27563477,9.092911
1503530532627,0.19631958,-0.19470215,9.078629
1503530532636,0.20584106,-0.18518066,9.08815
1503530532646,0.16299438,-0.20422363,9.140518
1503530532656,0.15585327,-0.24468994,9.1167145
1503530532665,0.16775513,-0.18041992,9.138138
1503530532675,0.16537476,-0.2232666,9.109573
1503530532685,0.14633179,-0.22088623,9.164322
1503530532695,0.18203735,-0.2232666,9.133377
1503530532705,0.16775513,-0.21374512,9.166702
1503530532715,0.1867981,-0.26135254,9.104813
1503530532725,0.16537476,-0.19946289,9.1167145
1503530532735,0.1534729,-0.21374512,9.138138
1503530532745,0.14157104,-0.2732544,9.1167145
1503530532755,0.18441772,-0.23754883,9.126236
1503530532764,0.1867981,-0.20184326,9.1167145
1503530532775,0.1867981,-0.1899414,9.102432
1503530532784,0.19155884,-0.22802734,9.142899
1503530532794,0.23678589,-0.23754883,9.071487
1503530532804,0.21774292,-0.20898438,9.092911
1503530532813,0.15109253,-0.20184326,9.126236
1503530532823,0.14157104,-0.2399292,9.08815
1503530532833,0.19155884,-0.19232178,9.114334
1503530532843,0.1701355,-0.22802734,9.15242
1503530532852,0.16775513,-0.19946289,9.133377
1503530532863,0.1534729,-0.19232178,9.1809845
1503530532873,0.22012329,-0.1828003,9.135757
1503530532882,0.18917847,-0.20422363,9.138138
1503530532893,0.13919067,-0.23040771,9.073868
1503530532902,0.18441772,-0.21612549,9.095291
1503530532912,0.16299438,-0.21136475,9.123856
1503530532922,0.15823364,-0.22088623,9.126236
1503530532931,0.17251587,-0.19470215,9.107193
1503530532942,0.20108032,-0.20422363,9.123856
1503530532951,0.19631958,-0.17089844,9.095291
1503530532962,0.16299438,-0.19470215,9.157181
1503530532971,0.20108032,-0.1899414,9.08577
1503530532981,0.17251587,-0.2637329,9.204788
1503530532991,0.16775513,-0.25183105,9.164322
1503530533000,0.18203735,-0.206604,9.135757
1503530533011,0.12966919,-0.24707031,9.059586
